,name,author,year_birth,year_death,popularity,subjects_list,graph_size,central_graph_size,fluidity_total,fluidity_central,subjects_list_separated,category_community,similarity_community,graph_size_ratio,main_character_importance,second_character_importance,main_character,second_character
56,Andrew Lang's Introduction to The Compleat Angler,Andrew Lang,1844,1912,32,"['Fishing', 'Walton, Izaak, 1593-1683. Compleat angler']",157,20,467,1157,"['Fishing', 'Walton, Izaak, 1593-1683. Compleat angler']",-1,21,0.12738853503184713,0.21024815879728168,0.04862760321502551,Walton,Donne
57,Angling Sketches,Andrew Lang,1844,1912,25,['Fishing'],168,38,418,887,['Fishing'],-1,17,0.2261904761904762,0.0470874410583869,0.03936884206514505,Loch Leven,Scott
58,Ballads in Blue China and Verses and Translations,Andrew Lang,1844,1912,24,"['Ballads, French', 'Folk songs, French', 'French poetry -- Translations into English']",120,36,228,767,"['French poetry', 'Translations into English', 'Ballads, French', 'Folk songs, French']",-1,17,0.3,0.026561771290956344,0.02461535188319759,Villon,Prince
59,Ban and Arriere Ban,Andrew Lang,1844,1912,11,['Poetry'],151,46,282,788,['Poetry'],38,17,0.304635761589404,0.021897212897432274,0.020701734516342152,David Grieve,Heigh - ho
60,Books and Bookmen,Andrew Lang,1844,1912,37,"['Bibliomania', 'Book collecting', 'Books', 'Literary forgeries and mystifications']",534,147,1343,2400,"['Literary forgeries and mystifications', 'Books', 'Bibliomania', 'Book collecting']",-1,17,0.2752808988764045,0.01938448932858247,0.014204464415693282,Blinton,Moliere
61,Cock Lane and Common-Sense,Andrew Lang,1844,1912,76,"['Ghosts', 'Parapsychology -- Early works to 1900']",686,131,1881,2832,"['Parapsychology', 'Early works to 1900', 'Ghosts']",52,17,0.19096209912536444,0.01831206645501641,0.012114557375442678,Scott,Carpenter
62,Custom and Myth,Andrew Lang,1844,1912,106,"['Folklore', 'Manners and customs', 'Mythology', 'Religion']",478,114,1102,2252,"['Religion', 'Folklore', 'Manners and customs', 'Mythology']",4,17,0.2384937238493724,0.03266237230286841,0.016739510290584386,Muller,Jason
63,Essays in Little,Andrew Lang,1844,1912,44,"['English literature -- 19th century -- History and criticism', 'Literature -- History and criticism']",538,94,1396,2403,"['19th century', 'History and criticism', 'English literature', 'Literature']",35,35,0.17472118959107807,0.036803541968999216,0.034097966760926225,Scott,Dumas
64,Grass of Parnassus,Andrew Lang,1844,1912,22,['Poetry'],90,26,134,392,['Poetry'],38,17,0.28888888888888886,0.04654494412269813,0.024389821121933008,Colinette,Ronsard
65,He,Andrew Lang,1844,1912,30,"['Helen, of Troy, Queen of Sparta -- Poetry']",86,13,230,715,"['Poetry', 'Helen, of Troy, Queen of Sparta']",-1,21,0.1511627906976744,0.17074548411450982,0.048261456916787814,Leonora,ED
66,Helen of Troy,Andrew Lang,1844,1912,30,"['Helen, of Troy, Queen of Sparta -- Poetry']",122,15,328,767,"['Poetry', 'Helen, of Troy, Queen of Sparta']",-1,35,0.12295081967213115,0.21858595836513836,0.07025118205227558,Helen,Menelaus
67,Historical Mysteries,Andrew Lang,1844,1912,85,['History'],678,75,1683,2589,['History'],-1,17,0.11061946902654868,0.07338236811088851,0.019218307130344114,James,Perez
68,Homer and His Age,Andrew Lang,1844,1912,66,"['Civilization, Homeric', 'Epic poetry, Greek -- History and criticism', 'Homer', 'Homer -- Homes and haunts -- Greece']",335,36,1080,1717,"['Epic poetry, Greek', 'History and criticism', 'Greece', 'Homer', 'Civilization, Homeric', 'Homes and haunts']",-1,21,0.10746268656716418,0.054156704842359384,0.03640907252498779,Leaf,Nestor
69,How to Fail in Literature,Andrew Lang,1844,1912,23,"['Authorship -- Humor', 'Literature -- Humor']",50,18,96,343,"['Humor', 'Authorship', 'Literature']",-1,17,0.36,0.06521086123158715,0.04379384872359833,Mary,Gibbon
70,In the Wrong Paradise,Andrew Lang,1844,1912,35,"['Paranormal fiction', 'Science fiction, English', 'Short stories', 'Slavery -- Fiction']",221,47,385,957,"['Slavery', 'Science fiction, English', 'Paranormal fiction', 'Short stories', 'Fiction']",27,17,0.21266968325791855,0.06379980890858714,0.04332131323298583,Gladstone,Moore
71,James VI and the Gowrie Mystery,Andrew Lang,1844,1912,36,"['Gowrie Conspiracy, 1600']",374,21,1677,2581,"['Gowrie Conspiracy, 1600']",-1,21,0.05614973262032086,0.14669019696073657,0.07420451188087702,Gowrie,James
72,John Knox and the Reformation,Andrew Lang,1844,1912,89,"['Knox, John, approximately 1514-1572', 'Reformation -- Scotland']",366,16,1473,1987,"['Scotland', 'Knox, John, approximately 1514-1572', 'Reformation']",35,21,0.04371584699453552,0.1984431380109906,0.1118852356162724,Knox,Mary
73,Letters on Literature,Andrew Lang,1844,1912,68,['Literature -- History and criticism'],364,74,929,1778,"['History and criticism', 'Literature']",35,17,0.2032967032967033,0.029879021408273962,0.02839708858640073,Keats,Virgil
74,Letters to Dead Authors,Andrew Lang,1844,1912,22,"['Authors -- Biography', 'Authors, English -- Biography', 'Literature -- History and criticism']",419,116,960,1560,"['History and criticism', 'Literature', 'Authors', 'Biography', 'Authors, English']",35,17,0.27684964200477324,0.013448344352027942,0.012904235076765014,Byron,Scott
75,Lost Leaders,Andrew Lang,1844,1912,21,['Essays'],395,100,909,1914,['Essays'],35,17,0.25316455696202533,0.03129193169184279,0.016912537232051154,Thackeray,Pepys
76,Modern Mythology,Andrew Lang,1844,1912,84,['Mythology'],352,46,977,1614,['Mythology'],4,21,0.13068181818181818,0.12063984621814192,0.06527626306264829,Max Muller,Mannhardt
77,Much Darker Days,Andrew Lang,1844,1912,27,"['Conway, Hugh, 1847-1885. Dark days -- Parodies, imitations, etc.']",34,3,116,342,"['Conway, Hugh, 1847-1885. Dark days', 'Parodies, imitations, etc.']",-1,21,0.08823529411764706,0.2618080077719792,0.18206873192555667,Philippa,Runan
78,"Myth, Ritual And Religion, Vol. 2 (of 2)",Andrew Lang,1844,1912,49,"['Myth', 'Mythology', 'Religion', 'Rites and ceremonies']",720,116,1940,2661,"['Myth', 'Religion', 'Mythology', 'Rites and ceremonies']",4,17,0.16111111111111112,0.028853265588573943,0.01838024369012371,Indra,Athene
79,"Myth, Ritual, and Religion, Vol. 1",Andrew Lang,1844,1912,44,"['Cornell University', 'Diplomats -- United States -- Biography', 'White, Andrew Dickson, 1832-1918']",675,137,1772,2614,"['Diplomats', 'White, Andrew Dickson, 1832-1918', 'United States', 'Cornell University', 'Biography']",-1,17,0.20296296296296296,0.019887219241426942,0.018978564643299195,Strachey,Smith
80,New Collected Rhymes,Andrew Lang,1844,1912,23,['English poetry'],126,43,240,765,['English poetry'],50,17,0.3412698412698413,0.027836869761178114,0.017965297118045773,Charlie,Beatrix Esmond
81,Old Friends - Essays in Epistolary Parody,Andrew Lang,1844,1912,44,"['English literature -- 19th century -- History and criticism', 'Literature -- History and criticism']",425,108,1008,1693,"['19th century', 'History and criticism', 'English literature', 'Literature']",35,17,0.2541176470588235,0.021056106567672393,0.018654336230023102,Fosco,Scott
