name,author,year_birth,year_death,popularity,subjects_list
The Prairie,James Fenimore Cooper,1789,1851,278,"['Bumppo, Natty (Fictitious character) -- Fiction', 'Historical fiction', 'Indians of North America -- Fiction', 'West (U.S.) -- History -- To 1848 -- Fiction', 'Western stories']"
The Red Rover,James Fenimore Cooper,1789,1851,74,['Newport (R.I.) -- Fiction']
"The Redskins; or, Indian and Injin, Volume 1",James Fenimore Cooper,1789,1851,19,"['Indians of North America -- Fiction', 'New York (State) -- History -- Colonial period, ca. 1600-1775 -- Fiction']"
The Sea Lions,James Fenimore Cooper,1789,1851,39,"['Sea stories', 'Sealers (Persons) -- Fiction']"
The Spy,James Fenimore Cooper,1789,1851,251,"['Domestic fiction', 'Historical fiction', 'New York (State) -- History -- Revolution, 1775-1783 -- Fiction', 'Spy stories', 'United States -- History -- Revolution, 1775-1783 -- Fiction', 'War stories']"
The Two Admirals,James Fenimore Cooper,1789,1851,33,"['Admirals -- Fiction', 'Great Britain -- History, Naval -- 18th century -- Fiction', 'Historical fiction', 'Inheritance and succession -- Fiction', 'Jacobite Rebellion, 1745-1746 -- Fiction', 'Kings and rulers -- Succession -- Fiction', 'Male friendship -- Fiction', 'Sea stories']"
The Water-Witch,James Fenimore Cooper,1789,1851,57,['Sea stories']
The Wept of Wish-Ton-Wish,James Fenimore Cooper,1789,1851,23,"['Historical fiction', ""King Philip\\'s War, 1675-1676 -- Fiction"", 'War stories']"
The Wing-and-Wing,James Fenimore Cooper,1789,1851,40,"['Historical fiction', 'Napoleonic Wars, 1800-1815 -- Fiction', 'Sea stories', 'War stories']"
Wyandotte,James Fenimore Cooper,1789,1851,25,"['Historical fiction', 'New York (State) -- History -- Revolution, 1775-1783 -- Fiction', 'Otsego County (N.Y.) -- Fiction', 'Tuscarora Indians -- Fiction', 'War stories']"
A Portrait of the Artist as a Young Man,James Joyce,1882,1941,4509,"['Artists -- Fiction', 'Autobiographical fiction', 'Bildungsromans', 'Dublin (Ireland) -- Fiction', 'Young men -- Fiction']"
Chamber Music,James Joyce,1882,1941,336,['Irish poetry']
Dubliners,James Joyce,1882,1941,11972,"['Dublin (Ireland) -- Fiction', 'Short stories']"
Ulysses,James Joyce,1882,1941,12170,"['Alienation (Social psychology) -- Fiction', 'Artists -- Fiction', 'City and town life -- Fiction', 'Domestic fiction', 'Dublin (Ireland) -- Fiction', 'Epic literature', 'Jewish men -- Fiction', 'Male friendship -- Fiction', 'Married people -- Fiction', 'Psychological fiction']"
A Holiday in Bed and Other Sketches,James Matthew Barrie,1860,1937,18,"['Essays', 'Great Britain -- Social life and customs -- 19th century -- Fiction']"
A Window in Thrums,James Matthew Barrie,1860,1937,26,['Scotland -- Social life and customs -- 19th century -- Fiction']
An Edinburgh Eleven,James Matthew Barrie,1860,1937,9,['University of Edinburgh -- Biography']
Auld Licht Idylls,James Matthew Barrie,1860,1937,23,['Scotland -- Social life and customs -- 19th century -- Fiction']
Better Dead,James Matthew Barrie,1860,1937,23,"['Courtship -- Fiction', 'Great Britain -- Fiction', 'Young men -- Fiction']"
Courage,James Matthew Barrie,1860,1937,20,['Western stories']
Dear Brutus,James Matthew Barrie,1860,1937,126,"['English drama', 'Fantasy drama']"
Echoes of the War,James Matthew Barrie,1860,1937,37,"['World War, 1914-1918 -- Drama']"
Margaret Ogilvy,James Matthew Barrie,1860,1937,69,"['Barrie, Margaret Ogilvy']"
My Lady Nicotine,James Matthew Barrie,1860,1937,112,"['Smoking -- Anecdotes', 'Tobacco -- Anecdotes', 'Wit and humor, Pictorial']"
Peter and Wendy,James Matthew Barrie,1860,1937,1763,"['Fairies -- Fiction', 'Fantasy literature', 'Never-Never Land (Imaginary place) -- Fiction', 'Peter Pan (Fictitious character) -- Fiction', 'Pirates -- Fiction']"
"Peter Pan in Kensington Gardens, Version 1",James Matthew Barrie,1860,1937,43,"['Fairies -- Fiction', 'Fantasy literature', 'Kensington Gardens (London, England) -- Fiction', 'Peter Pan (Fictitious character) -- Fiction']"
"Peter Pan in Kensington Gardens, Version 2",James Matthew Barrie,1860,1937,43,"['Fairies -- Fiction', 'Fantasy literature', 'Kensington Gardens (London, England) -- Fiction', 'Peter Pan (Fictitious character) -- Fiction']"
Peter Pan,James Matthew Barrie,1860,1937,14770,"['Fairies -- Fiction', 'Fantasy literature', 'Never-Never Land (Imaginary place) -- Fiction', 'Peter Pan (Fictitious character) -- Fiction', 'Pirates -- Fiction']"
Quality Street,James Matthew Barrie,1860,1937,58,"['Comedies', 'Courtship -- Drama', 'Single women -- Drama', 'Sisters -- Drama', 'Women teachers -- Drama']"
Sentimental Tommy,James Matthew Barrie,1860,1937,35,['London (England) -- History -- 19th century -- Fiction']
The Admirable Crichton,James Matthew Barrie,1860,1937,245,"['Manners and customs -- Drama', 'Shipwrecks -- Drama']"
The Little Minister,James Matthew Barrie,1860,1937,15,"['Clergy -- Fiction', 'Country life -- Scotland -- Fiction', 'Deception -- Fiction', 'Romanies -- Fiction', 'Scotland -- Fiction']"
The Little White Bird,James Matthew Barrie,1860,1937,524,"['Adventure stories', 'Fairies -- Fiction', 'Kensington (London, England) -- Fiction', 'Kensington Gardens (London, England) -- Fiction', 'Peter Pan (Fictitious character) -- Fiction']"
Tommy and Grizel,James Matthew Barrie,1860,1937,17,"['Brothers and sisters -- Fiction', 'City and town life -- Fiction', 'Conduct of life -- Fiction', 'Courtship -- Fiction', 'Fame -- Fiction', 'Love stories', 'Sentimentalism -- Fiction', 'Youth -- Conduct of life -- Fiction', 'Youth and death -- Fiction']"
What Every Woman Knows,James Matthew Barrie,1860,1937,46,"['Comedies', 'Man-woman relationships -- Drama']"
A District Messenger Boy and a Necktie Party,James Otis,1848,1912,11,"['Adventure stories', 'Boys -- Juvenile fiction']"
A Runaway Brig,James Otis,1848,1912,13,"['Adventure and adventurers -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Islands -- Juvenile fiction', 'Sailing -- Juvenile fiction', 'Sea stories', 'Shipwrecks -- Juvenile fiction', 'Treasure troves -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction']"
An Amateur Fireman,James Otis,1848,1912,17,"['Arson -- Juvenile fiction', 'Boys -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Detective and mystery stories', 'Fire fighters -- Juvenile fiction', 'Heroes -- Juvenile fiction', 'Homeless boys -- Juvenile fiction', 'Newspaper vendors -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Shoe shiners -- Juvenile fiction']"
Aunt Hannah and Seth,James Otis,1848,1912,5,"['Adventure stories', 'Attitude change -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Dogs -- Juvenile fiction', 'Empathy -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Gardens -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Human-animal relationships -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Kindness -- Juvenile fiction', 'People with disabilities -- Juvenile fiction', 'Runaway children -- Juvenile fiction']"
Commodore Barney's Young Spies,James Otis,1848,1912,10,"['Washington (D.C.) -- History -- Capture by the British, 1814 -- Juvenile fiction']"
Corporal 'Lige's Recruit,James Otis,1848,1912,4,"['United States -- History -- Revolution, 1775-1783 -- Juvenile fiction']"
Defending the Island,James Otis,1848,1912,10,"['Mount Desert Island (Me.) -- History -- Colonial period, ca. 1600-1775 -- Juvenile fiction']"
Dick in the Desert,James Otis,1848,1912,6,"['Animals -- Juvenile fiction', 'Boys -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Deserts -- Juvenile fiction', 'Fathers and sons -- Juvenile fiction', 'Natural history -- Juvenile fiction', 'Nevada -- Juvenile fiction', 'Sandstorms -- Juvenile fiction', 'Sick -- Juvenile fiction']"
Down the Slope,James Otis,1848,1912,9,"['Coal mines and mining -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Detectives -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Land titles -- Juvenile fiction', 'Mine accidents -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Wealth -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction']"
Left Behind,James Otis,1848,1912,10,['Newspaper vendors -- Juvenile fiction']
Messenger No. 48,James Otis,1848,1912,11,"['Friendship -- Juvenile fiction', 'Homeless boys -- Juvenile fiction', 'Messengers -- Juvenile fiction', 'New York (State) -- Juvenile fiction', 'Orphans -- Juvenile fiction']"
Mr. Stubbs's Brother,James Otis,1848,1912,7,['Circus -- Juvenile fiction']
"Neal, the Miller",James Otis,1848,1912,9,"['Adventure and adventurers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Horses -- Juvenile fiction', 'Indians of North America -- Juvenile fiction', 'Millers -- Juvenile fiction', 'United States -- History -- Colonial period, ca. 1600-1775 -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction']"
On the Kentucky Frontier,James Otis,1848,1912,13,"['United States -- History -- Revolution, 1775-1783 -- Juvenile fiction']"
Ralph Gurney's Oil Speculation,James Otis,1848,1912,30,"['Oil fields -- Juvenile fiction', 'Prospecting -- Juvenile fiction']"
Richard of Jamestown,James Otis,1848,1912,32,"['Virginia -- History -- Colonial period, ca. 1600-1775 -- Juvenile fiction']"
Teddy and Carrots,James Otis,1848,1912,9,"['Boys -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Diligence -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Newspaper vendors -- Juvenile fiction', 'Physicians -- Juvenile fiction', 'Prisoners -- Juvenile fiction', 'Revenge -- Juvenile fiction', 'Success -- Juvenile fiction']"
The Adventures of a Country Boy at a Country Fair,James Otis,1848,1912,8,"['Agricultural exhibitions -- Juvenile fiction', 'Burglars -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Clergy -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Debt -- Juvenile fiction', 'Escapes -- Juvenile fiction', 'Fairs -- Juvenile fiction', 'Fakirs -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Intergenerational relations -- Juvenile fiction', 'Prisoners -- Juvenile fiction', 'Theft -- Juvenile fiction', 'Uncles -- Juvenile fiction']"
The Boys of ’98,James Otis,1848,1912,64,"['Authors -- Fiction', 'Authorship -- Fiction', 'Manners and customs -- Fiction']"
The Club at Crow's Corner,James Otis,1848,1912,8,['Animals -- Juvenile fiction']
The Minute Boys of Boston,James Otis,1848,1912,8,"['United States -- History -- Revolution, 1775-1783 -- Juvenile fiction']"
The Minute Boys of the Mohawk Valley,James Otis,1848,1912,15,"['United States -- History -- Revolution, 1775-1783 -- Juvenile fiction']"
The Minute Boys of York Town,James Otis,1848,1912,3,"['United States -- History -- Revolution, 1775-1783 -- Juvenile fiction']"
The Princess and Joe Potter,James Otis,1848,1912,12,"['Missing children -- Juvenile fiction', 'Social classes -- Juvenile fiction']"
The Search for the Silver City,James Otis,1848,1912,26,"['Accidents -- Juvenile fiction', 'Adventure stories', 'Brothers and sisters -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Indians of North America -- Juvenile fiction', 'Sailing -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Yucat\\xc3\\xa1n (Mexico : State) -- Juvenile fiction']"
Toby Tyler,James Otis,1848,1912,21,"['Circus -- Fiction', 'Runaways -- Fiction']"
Under the Liberty Tree,James Otis,1848,1912,27,"['Boston Massacre, 1770 -- Juvenile fiction']"
Abraham Lincoln,James Russell Lowell,1819,1891,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"Among My Books, First Series",James Russell Lowell,1819,1891,8,"['Dante Alighieri, 1265-1321', 'Keats, John, 1795-1821', 'Milton, John, 1608-1674', 'Spenser, Edmund, 1552?-1599', 'Wordsworth, William, 1770-1850']"
"Among My Books, Second Series",James Russell Lowell,1819,1891,8,"['Dante Alighieri, 1265-1321', 'Keats, John, 1795-1821', 'Milton, John, 1608-1674', 'Spenser, Edmund, 1552?-1599', 'Wordsworth, William, 1770-1850']"
My Garden Acquaintance,James Russell Lowell,1819,1891,11,"['Essays', 'Natural history']"
Poems of James Russell Lowell,James Russell Lowell,1819,1891,124,['American poetry']
The Biglow Papers,James Russell Lowell,1819,1891,95,"['Mexican War, 1846-1848 -- Poetry', 'Slavery -- United States -- Poetry']"
The Complete Poetical Works of James Russell Lowell,James Russell Lowell,1819,1891,64,['American poetry']
The Function Of The Poet And Other Essays,James Russell Lowell,1819,1891,12,['Literature -- History and criticism']
"The Vision of Sir Launfal And Other Poems, Version 1",James Russell Lowell,1819,1891,13,['American poetry']
"The Vision of Sir Launfal And Other Poems, Version 2",James Russell Lowell,1819,1891,64,"['Authors -- Fiction', 'Authorship -- Fiction', 'Manners and customs -- Fiction']"
"The Writings of James Russell Lowell in Prose and Poetry, Volume V",James Russell Lowell,1819,1891,15,"['United States -- Politics and government -- 1861-1865', 'United States -- Politics and government -- 1865-1869']"
Emma,Jane Austen,1775,1817,11724,"['Bildungsromans', 'England -- Fiction', 'Fathers and daughters -- Fiction', 'Female friendship -- Fiction', 'Humorous stories', 'Love stories', 'Mate selection -- Fiction', 'Young women -- Fiction']"
Lady Susan,Jane Austen,1775,1817,1397,"['England -- Fiction', 'Epistolary fiction', 'Mate selection -- Fiction', 'Mothers and daughters -- Fiction', 'Widows -- Fiction']"
Love And Freindship And Other Early Works,Jane Austen,1775,1817,1045,"['England -- Social life and customs -- 18th century -- Fiction', 'Epistolary fiction', 'Essays']"
Mansfield Park,Jane Austen,1775,1817,4094,"['Adoptees -- Fiction', 'Children of the rich -- Fiction', 'Country homes -- Fiction', 'Cousins -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Love stories', 'Uncles -- Fiction', 'Young women -- Fiction']"
Northanger Abbey,Jane Austen,1775,1817,4776,"['Books and reading -- Fiction', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Gentry -- England -- Fiction', 'Gothic fiction', 'Horror tales -- Appreciation -- Fiction', 'Love stories', 'Marriage -- Economic aspects -- Fiction', 'Satire', 'Young women -- Fiction']"
Persuasion,Jane Austen,1775,1817,5998,"['Dysfunctional families -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'First loves -- Fiction', 'Love stories', 'Motherless families -- Fiction', 'Psychological fiction', 'Regency fiction', 'Rejection (Psychology) -- Fiction', 'Ship captains -- Fiction', 'Young women -- Fiction']"
Pride and Prejudice,Jane Austen,1775,1817,74326,"['Courtship -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']"
Sense and Sensibility,Jane Austen,1775,1817,5896,"['Domestic fiction', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Gentry -- England -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Mate selection -- Fiction', 'Regency fiction', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']"
All Roads Lead to Calvary,Jerome Klapka Jerome,1859,1927,65,"['London (England) -- Social life and customs -- 20th century -- Fiction', 'Women journalists -- England -- Fiction', 'World War, 1914-1918 -- Fiction']"
Clocks,Jerome Klapka Jerome,1859,1927,48,"['Clocks and watches', 'Essays']"
Diary of a Pilgrimage,Jerome Klapka Jerome,1859,1927,88,"['British -- Europe -- History -- 19th century', 'Europe -- Description and travel', 'Germany -- Description and travel', 'Humorists, English -- 19th century -- Biography', 'Jerome, Jerome K. (Jerome Klapka), 1859-1927 -- Travel -- Europe', 'Oberammergauer Passionsspiel']"
Dreams,Jerome Klapka Jerome,1859,1927,73,"['Dreams', 'Essays']"
Evergreens,Jerome Klapka Jerome,1859,1927,26,"['Bulldog', 'Essays']"
Fanny and the Servant Problem,Jerome Klapka Jerome,1859,1927,40,"['Comedies', 'English drama', 'Married people -- Drama']"
Idle Ideas in 1905,Jerome Klapka Jerome,1859,1927,64,['Wit and humor']
Idle Thoughts of an Idle Fellow,Jerome Klapka Jerome,1859,1927,276,"['Essays', 'Wit and humor']"
John Ingerfield and Other Stories,Jerome Klapka Jerome,1859,1927,27,"['England -- Social life and customs -- 19th century -- Fiction', 'Short stories']"
Malvina of Brittany,Jerome Klapka Jerome,1859,1927,20,"['Brittany (France) -- Fiction', 'Short stories, English']"
Mrs. Korner Sins Her Mercies,Jerome Klapka Jerome,1859,1927,27,"['Domestic fiction', 'Man-woman relationships -- Fiction', 'Short stories']"
Novel Notes,Jerome Klapka Jerome,1859,1927,34,['Fiction -- Authorship -- Humor']
Passing of the Third Floor Back,Jerome Klapka Jerome,1859,1927,63,"['Fiction', 'Short stories']"
Paul Kelver,Jerome Klapka Jerome,1859,1927,68,['Autobiographical fiction']
"Sketches in Lavender, Blue and Green",Jerome Klapka Jerome,1859,1927,39,"['Manners and customs -- Fiction', 'Short stories, English']"
Stage-Land,Jerome Klapka Jerome,1859,1927,34,"['Actors', 'English wit and humor', 'Essays', 'Theater -- Anecdotes']"
The Angel and the Author - and Others,Jerome Klapka Jerome,1859,1927,60,"['Authors -- Fiction', 'English wit and humor', 'Guardian angels -- Fiction', 'London (England) -- Intellectual life -- 19th century -- Fiction']"
The Cost of Kindness,Jerome Klapka Jerome,1859,1927,40,"['Fiction', 'Short stories']"
The Love of Ulrich Nebendahl,Jerome Klapka Jerome,1859,1927,22,"['Pastoral fiction', 'Short stories', 'Villages -- Fiction']"
The Master of Mrs. Chilvers,Jerome Klapka Jerome,1859,1927,20,['England -- Drama']
The Observations of Henry,Jerome Klapka Jerome,1859,1927,13,['England -- Social life and customs -- Fiction']
The Philosopher's Joke,Jerome Klapka Jerome,1859,1927,29,"['Fiction', 'Short stories']"
The Second Thoughts of An Idle Fellow,Jerome Klapka Jerome,1859,1927,68,"['Essays', 'Wit and humor']"
The Soul of Nicholas Snyders,Jerome Klapka Jerome,1859,1927,23,"['Fiction', 'Short stories']"
They and I,Jerome Klapka Jerome,1859,1927,33,['Country life -- Fiction']
Three Men in a Boat,Jerome Klapka Jerome,1859,1927,4687,"['Boats and boating -- England -- Thames River -- Fiction', 'Dogs -- Fiction', 'Humorous stories, English', 'Male friendship -- Fiction', 'Thames River (England) -- Fiction', 'Young men -- Travel -- England -- Thames River -- Fiction']"
Three Men on the Bummel,Jerome Klapka Jerome,1859,1927,386,"['Bicycle touring -- Fiction', 'Black Forest (Germany) -- Fiction', 'British -- Germany -- Fiction', 'Humorous stories']"
Told After Supper,Jerome Klapka Jerome,1859,1927,67,"['Ghost stories, English', 'Short stories']"
Tommy and Co,Jerome Klapka Jerome,1859,1927,20,"['England -- Social life and customs -- Fiction', 'London (England) -- Fiction', 'Orphans -- Fiction', 'Periodical editors -- Fiction']"
Grace Abounding to the Chief of Sinners,John Bunyan,1628,1688,623,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian biography -- England', 'Puritans -- England -- Biography']"
Miscellaneous Pieces,John Bunyan,1628,1688,26,['English prose literature -- 18th century']
The Heavenly Footman,John Bunyan,1628,1688,41,['Christian life']
The Holy War,John Bunyan,1628,1688,193,"['Christian fiction', 'Soul', 'Spiritual warfare -- Fiction']"
The Life and Death of Mr. Badman,John Bunyan,1628,1688,151,"['Christian ethics -- Fiction', 'Christian fiction', 'Conduct of life -- Fiction']"
The Pharisee And The Publican,John Bunyan,1628,1688,270,['Pharisee and the publican (Parable) -- Early works to 1800']
The Pilgrim's Progress,John Bunyan,1628,1688,2543,"['Christian fiction', 'Christian pilgrims and pilgrimages -- Fiction']"
The Works of John Bunyan,John Bunyan,1628,1688,169,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
All for Love,John Dryden,1631,1700,310,"['Hymns, English', 'Lutheran Church -- Prayers and devotions']"
Discourses on Satire and Epic Poetry,John Dryden,1631,1700,27,"['Art', 'Art -- Censorship', 'Art -- Philosophy']"
Dryden's Works Vol. 16 (of 18),John Dryden,1631,1700,128,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
Dryden's Works Vol. 2 (of 18),John Dryden,1631,1700,128,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
Dryden's Works Vol. 3 (of 18),John Dryden,1631,1700,89,['English drama -- 17th century']
Dryden's Works Vol. 4 (of 18),John Dryden,1631,1700,128,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
Dryden's Works Vol. 5 (of 18),John Dryden,1631,1700,128,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
Dryden's Works Vol. 6 (of 18),John Dryden,1631,1700,128,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
Dryden's Works Vol. 7 (of 18),John Dryden,1631,1700,128,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Christian literature, English', 'Christian literature, English -- History and criticism', 'Puritans -- England -- Biography']"
His Majesties Declaration Defended,John Dryden,1631,1700,18,"['Great Britain -- Politics and government -- 1660-1688', 'Great Britain. Sovereign (1660-1685 : Charles II) His Majesties declaration to all his loving subjects', 'Letter from a person of quality to his friend, concerning His Majesties late declaration']"
Palamon and Arcite,John Dryden,1631,1700,75,"[""Chaucer, Geoffrey, -1400. Knight\\'s tale -- Adaptations"", 'English poetry -- Early modern, 1500-1700']"
"The Poetical Works of John Dryden, Volume 1",John Dryden,1631,1700,22,"['Arizona -- Fiction', 'Love stories']"
"The Poetical Works of John Dryden, Volume 2",John Dryden,1631,1700,22,"['Arizona -- Fiction', 'Love stories']"
A Bit O' Love,John Galsworthy,1867,1933,54,['English drama']
A Family Man,John Galsworthy,1867,1933,57,['English drama']
Another Sheaf,John Galsworthy,1867,1933,17,['Essays']
Beyond,John Galsworthy,1867,1933,30,"['England -- Social life and customs -- 20th century -- Fiction', 'Man-woman relationships -- Fiction', 'Marriage -- Fiction', 'Married women -- Fiction', 'Upper class families -- England -- Fiction', 'Young women -- Fiction']"
Essays Concerning Letters,John Galsworthy,1867,1933,6,['English essays']
Essays on Censorship and Art,John Galsworthy,1867,1933,27,"['Art', 'Art -- Censorship', 'Art -- Philosophy']"
Five Tales,John Galsworthy,1867,1933,186,"['Domestic fiction, English', 'England -- Social life and customs -- Fiction', 'Families -- England -- Fiction', 'Forsyte family (Fictitious characters) -- Fiction']"
Fraternity,John Galsworthy,1867,1933,57,"['England -- Social life and customs -- 20th century -- Fiction', 'London (England) -- Fiction', 'Upper class families -- England -- Fiction']"
Hall-Marked and Others,John Galsworthy,1867,1933,345,['America']
Inn of Tranquility and Other Essays,John Galsworthy,1867,1933,36,"['Autobiographical fiction', 'Essays', 'Short stories']"
Joy,John Galsworthy,1867,1933,85,['English drama']
Justice,John Galsworthy,1867,1933,963,"['English drama', 'Tragedies']"
Loyalties,John Galsworthy,1867,1933,82,['English drama']
Quality and Other Studies and Essays,John Galsworthy,1867,1933,25,"['Autobiographical fiction', 'Essays']"
Saint's Progress,John Galsworthy,1867,1933,22,"['World War, 1914-1918 -- Fiction']"
"Six Short Plays, Complete",John Galsworthy,1867,1933,26,['England -- Drama']
Strife,John Galsworthy,1867,1933,197,"['English drama', 'Labor movement -- Drama', 'Political plays', 'Social conflict -- Drama', 'Strikes and lockouts -- Drama', 'Tinplate industry -- Drama']"
Tatterdemalion,John Galsworthy,1867,1933,10,"['World War, 1914-1918 -- Fiction']"
The Burning Spear,John Galsworthy,1867,1933,23,"['World War, 1914-1918 -- Humor, caricatures, etc.']"
The Complete Essays of John Galsworthy,John Galsworthy,1867,1933,96,['Essays']
The Country House,John Galsworthy,1867,1933,79,"['England -- Social life and customs -- 20th century -- Fiction', 'Upper class families -- England -- Fiction']"
The Dark Flower,John Galsworthy,1867,1933,41,"['Artists -- Fiction', 'England -- Fiction', 'Italy -- Fiction', 'Man-woman relationships -- Fiction']"
The Eldest Son,John Galsworthy,1867,1933,76,['English drama']
The First and The Last,John Galsworthy,1867,1933,128,['English drama']
"The Forsyte Saga, Complete",John Galsworthy,1867,1933,589,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Families -- England -- Fiction', 'Forsyte family (Fictitious characters) -- Fiction', 'Middle class -- England -- Fiction', 'Women -- England -- Fiction']"
The Foundations,John Galsworthy,1867,1933,26,['English drama']
The Freelands,John Galsworthy,1867,1933,43,"['England -- Social life and customs -- 19th century -- Fiction', 'English fiction', 'Families -- England -- Fiction']"
The Fugitive,John Galsworthy,1867,1933,54,['English drama']
The Island Pharisees,John Galsworthy,1867,1933,483,"['England -- Social life and customs -- Fiction', 'London (England) -- Fiction', 'Upper class -- England -- Fiction']"
The Little Dream,John Galsworthy,1867,1933,24,['English drama']
The Little Man,John Galsworthy,1867,1933,114,['English drama']
The Mob,John Galsworthy,1867,1933,69,['English drama']
The Patrician,John Galsworthy,1867,1933,31,"['Aristocracy (Social class) -- Fiction', 'Upper class -- England -- Fiction']"
The Pigeon,John Galsworthy,1867,1933,63,"['English drama', 'Philanthropists -- Drama']"
"The Project Gutenberg Plays of John Galsworthy, Complete",John Galsworthy,1867,1933,22,"['Arizona -- Fiction', 'Love stories']"
The Silver Box,John Galsworthy,1867,1933,209,['English drama (Comedy)']
The Skin Game,John Galsworthy,1867,1933,59,"['English drama', 'Social conflict -- Great Britain -- Drama']"
To Let,John Galsworthy,1867,1933,59,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Families -- England -- Fiction', 'Forsyte family (Fictitious characters) -- Fiction', 'Middle class -- England -- Fiction', 'Women -- England -- Fiction']"
Villa Rubein and Other Stories,John Galsworthy,1867,1933,12,"['Cumberland Mountains -- Fiction', 'Kentucky -- Social life and customs -- Fiction', 'Mountain life -- Fiction', 'Short stories']"
Windows,John Galsworthy,1867,1933,72,['English drama (Comedy)']
Endymion,John Keats,1795,1821,166,"['Endymion (Greek mythology) -- Poetry', 'English poetry -- 19th century', 'Love poetry, Romance']"
Keats_ Poems Published in 1820,John Keats,1795,1821,9,"['United States -- History -- Civil War, 1861-1865 -- Poetry']"
Lamia,John Keats,1795,1821,1484,['English poetry -- 19th century']
Letters of John Keats to His Family and Friends,John Keats,1795,1821,558,"['Keats, John, 1795-1821 -- Correspondence', 'Poets, English -- 19th century -- Correspondence']"
Poems 1817,John Keats,1795,1821,184,['English poetry -- 19th century']
"An Essay Concerning Humane Understanding, Volume 1",John Locke,1632,1704,1573,"['Knowledge, Theory of -- Early works to 1800']"
"An Essay Concerning Humane Understanding, Volume 2",John Locke,1632,1704,332,"['Knowledge, Theory of -- Early works to 1800']"
Second Treatise of Government,John Locke,1632,1704,8134,"['Liberty -- Early works to 1800', 'Political science -- Early works to 1800', 'Toleration -- Early works to 1800']"
