name,author,year_birth,year_death,popularity,subjects_list
Life of Cicero Volume One,Anthony Trollope,1815,1882,16,"['Gramont, Philibert, comte de, 1621-1707', 'Great Britain -- Court and courtiers -- Early works to 1800', 'Great Britain -- History -- Charles II, 1660-1685']"
Life of Cicero Volume Two,Anthony Trollope,1815,1882,16,"['Gramont, Philibert, comte de, 1621-1707', 'Great Britain -- Court and courtiers -- Early works to 1800', 'Great Britain -- History -- Charles II, 1660-1685']"
Linda Tressel,Anthony Trollope,1815,1882,15,['Germany -- Social life and customs -- 19th century -- Fiction']
Marion Fay,Anthony Trollope,1815,1882,33,"['England -- Fiction', 'Love stories', 'Male friendship -- Fiction', 'Quakers -- Fiction', 'Social classes -- Fiction']"
Miss Mackenzie,Anthony Trollope,1815,1882,74,"['Courtship -- Fiction', 'England -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Single women -- Fiction']"
"Miss Sarah Jack, of Spanish Town, Jamaica",Anthony Trollope,1815,1882,19,"['Courtship -- Fiction', 'Jamaica -- Fiction', 'Short stories']"
Mr. Scarborough's Family,Anthony Trollope,1815,1882,44,"['Domestic fiction', 'Fathers and sons -- Fiction', 'Hertfordshire (England) -- Fiction', 'Inheritance and succession -- Fiction']"
Mrs. General Talboys,Anthony Trollope,1815,1882,14,"['British -- Italy -- Fiction', 'Man-woman relationships -- Fiction', 'Rome (Italy) -- Fiction', 'Short stories']"
Nina Balatka,Anthony Trollope,1815,1882,57,"['Love stories', 'Prague (Czech Republic) -- Fiction']"
North America Volume 1,Anthony Trollope,1815,1882,34,"['Canada -- Description and travel', 'Trollope, Anthony, 1815-1882 -- Travel -- North America', 'United States -- Description and travel', 'United States -- Politics and government -- 1861-1865']"
North America Volume 2,Anthony Trollope,1815,1882,31,"['Canada -- Description and travel', 'Trollope, Anthony, 1815-1882 -- Travel -- North America', 'United States -- Description and travel', 'United States -- Politics and government -- 1861-1865']"
Orley Farm,Anthony Trollope,1815,1882,211,"['Domestic fiction', 'England -- Fiction', 'Forgers -- Fiction', 'Inheritance and succession -- Fiction', 'Landowners -- Fiction', 'Mothers and sons -- Fiction']"
